model,family,WAPE,MAE,RMSE,Biais,MASE
ets,BEVERAGES,0.1301917159749546,1159.709316687276,1591.3995972154487,0.04027225636783511,0.8942470561040642
ets,BREAD/BAKERY,0.1000845057497608,130.7061198935259,166.9534876393331,0.03716952863669397,0.7291659507299822
ets,CLEANING,0.15556973056613957,383.7624363275363,501.21847312894664,0.04198063619103563,0.8187811573242806
ets,DAIRY,0.12231940666234348,282.06199893800715,347.69181176576734,0.07063869327574303,0.8424119754738332
ets,GROCERY I,0.13199456643101495,1327.9161457283274,1815.5050632070702,0.040205457787859146,0.6944757367040424
ets,PRODUCE,0.0855269520394447,603.7187654882098,789.5345965924057,0.025901149017031416,0.7158689140099724
lightgbm,BEVERAGES,0.1047980506834504,933.5100535247796,1320.1059839873303,-0.023545332600523876,0.7117328603943923
lightgbm,BREAD/BAKERY,0.08192589094297399,106.99173906848094,141.5645412909205,0.02203782222367073,0.6005843663929599
lightgbm,CLEANING,0.10857968665012256,267.8464823002072,362.69607351741087,-0.02763530534742643,0.5653917285699893
lightgbm,DAIRY,0.07689311644696509,177.31140725260613,238.33786048759714,0.027582266444075323,0.5351281754213927
lightgbm,GROCERY I,0.07607601801497241,765.354024459779,1087.5784165206167,-0.012175135502663005,0.4040235192923906
lightgbm,PRODUCE,0.06769395428644233,477.8389681650067,692.0916144134139,-0.017926376521338945,0.5639529162351943
moyenne_mobile,BEVERAGES,0.26040098285577323,2319.574971655328,2909.3758322128233,0.02021279510357874,1.7642453681737518
moyenne_mobile,BREAD/BAKERY,0.18069970520465714,235.9861514654195,290.9124337776428,0.02928190415397329,1.2945024533796108
moyenne_mobile,CLEANING,0.2151473197732398,530.7295918367347,682.7712180853468,0.021995500600429332,1.1122514079145562
moyenne_mobile,DAIRY,0.2144601990884506,494.53373015873024,603.3281280899788,0.043071871636220026,1.4639536276600251
moyenne_mobile,GROCERY I,0.2087247082089733,2099.8509070294785,2701.642744003604,0.02331023340408336,1.0939495620009723
moyenne_mobile,PRODUCE,0.20351794837271694,1436.5951506094104,1752.5114514109437,0.018162458480618145,1.686771365971251
naive_saisonnier,BEVERAGES,0.16739767140225278,1491.1289682539682,2050.9152926677425,0.0534446839424495,1.143824207682286
naive_saisonnier,BREAD/BAKERY,0.12322145445007258,160.92199365079367,218.41267404607768,0.03266756189777652,0.896671950340302
naive_saisonnier,CLEANING,0.214520979636879,529.1845238095239,706.1385647442346,0.060251255351784036,1.1196888441139556
naive_saisonnier,DAIRY,0.12888262489061664,297.19642857142856,414.9200750154102,0.03769326542746195,0.8924273927969094
naive_saisonnier,GROCERY I,0.1718527447551827,1728.904761904762,2394.912787125349,0.04874099534674941,0.9104924499294921
naive_saisonnier,PRODUCE,0.11080518312071465,782.153073015873,1043.7468118320635,0.03134473562184912,0.9348521743766938
prophet,BEVERAGES,0.16353484127398693,1456.7200194588545,1758.125568751742,0.1129053881049717,1.1206579802518293
prophet,BREAD/BAKERY,0.10779979977233453,140.7819666789384,176.26744386549103,0.05397475841414385,0.7848100782821309
prophet,CLEANING,0.1428065778479633,352.27804302992513,461.17150923770345,0.017578915976085536,0.7506603904330696
prophet,DAIRY,0.11416763834095402,263.2644578907574,327.8117801944092,0.062292399695821545,0.7895045301062829
prophet,GROCERY I,0.12177812575719212,1225.1348200308387,1639.7974180919236,0.03508731286137526,0.6451166995440808
prophet,PRODUCE,0.16055211402558536,1133.3073582622903,1442.836465238534,0.14443490860752878,1.3362419121638611
sarima,BEVERAGES,0.13136462573799382,1170.1572501033447,1595.9182643893946,0.04543981980771081,0.9024269464284611
sarima,BREAD/BAKERY,0.10510879184919752,137.26762445782177,175.93861141409616,0.04054280920318485,0.7692498237453508
sarima,CLEANING,0.14060434969881297,346.8455438104982,469.2480341120153,0.012217667859826961,0.7396106903422637
sarima,DAIRY,0.11951711178974399,275.6000570847323,349.99665512764403,0.0627439518482771,0.8277259167404633
sarima,GROCERY I,0.1323513519501985,1331.5055453854225,1774.3027878126272,0.05229766209216323,0.7066102079789583
sarima,PRODUCE,0.08613231796413354,607.9919303795907,799.6415604094539,0.025692481873878084,0.7230347179502538
